incident_date,country,location,location_type,drone_type,certainty_score,flight_duration,flight_path_summary,description,source_url,source_type
2025-09-27,NL,Amsterdam Schiphol Airport,Airport,Unknown,5,Runway closed 45 min,"Flew at 150m height, came within 50m of aircraft","Unknown drone sighted by pilots, leading to a 45-minute closure of the Polderbaan runway. Investigation yielded no results.",https://tvpworld.com/79832151/netherlands-schiphol-airport-runway-shut-down-due-to-drone-threat,"""dutch_mil_intel"""
2025-11-05,NL,Vliegbasis Gilze-Rijen,Military Base,Unknown,5,Unknown,Spotted above the air traffic control tower.,"Drone spotted over control tower, labeled 'potential espionage'. Marechaussee found nothing. Another drone was seen weeks before.",https.www.upinthesky.nl/2025/11/06/drone-gespot-boven-verkeerstoren-vliegbasis-gilze-rijen/,"""senhive"""
2025-01-01,BE,Doel Nuclear Power Plant,Nuclear Site,Unknown,5,Unknown,Flew over the power plant.,"At least one drone, possibly more, flew over the nuclear plant in 2025. Origin unknown.",https://tvoost.be/nieuws/minstens-een-drone-vloog-boven-kerncentrale-doel-wellicht-pestgedrag-of-om-te-tonen-hoe-kwetsbaar-we-zijn-153157,"""reuters_news"""
2025-01-01,BE,Port of Antwerp,Port,Unknown,4,Unknown,Spotted over the port area.,"Drones were spotted over the Port of Antwerp, prompting an investigation by shipping police.",https://www.redactie24.be/2025/10/26/opnieuw-drones-gezien-boven-belgie-dit-maal-boven-haven-van-antwerpen/,"""belgian_mil_intel"""
2025-11-04,BE,"Brussels, Liège, Mol, Kleine-Brogel, Florennes",Multiple,Unknown,5,Multiple days (Nov 4-7),"Coordinated wave of drone sightings over multiple airports, military bases, and a nuclear site.","Coordinated 'hybrid' campaign with disruptions at Brussels Airport (Nov 4-5), Liège Airport (Nov 6-7), and sightings over SCK CEN, Kleine-Brogel, and Florennes bases.",https://www.washingtonpost.com/world/2025/11/05/belgium-drones-brussels-airport/,"""senhive"""
2025-09-21,FR,Mourmelon-le-Grand Military Base,Military Base,Small drones,5,Unknown,Spotted flying over the base at night.,'Exceptional' incident involving multiple small drones over a key army training base.,https://www.capital.fr/economie-politique/la-base-militaire-de-mourmelon-survolee-par-des-drones-un-incident-exceptionnel-selon-la-defense-1480219,"""military_aviation_forums"""
2025-11-05,DE,Munich Airport,Airport,Unknown,4,Approx 45 min,"Sighted by pilot on approach, runway closed.",Runway was closed for approx 45 mins after a pilot reported a drone during approach. No drone was found by authorities.,https://www.t-online.de/region/muenchen/id_100424304/flughafen-muenchen-drohnen-sichtung-sorgt-fuer-sperrung-der-landebahn.html,"""military_aviation_forums"""
2025-10-04,DE,Munich Airport,Airport,Unknown,5,Multiple days,Multiple sightings over several days.,"Major disruption over several days (Oct 2-4) due to multiple drone sightings, leading to ~170 cancellations and 15 diversions.",https://www.munich-airport.de/mag-drohnen-ueber-dem-flughafen-muenchen-8822851,"""twitter_osint"""
2025-10-31,DE,Berlin Brandenburg Airport (BER),Airport,Unknown,5,Approx 2 hours,Sighted by witness and police patrol.,Flight operations suspended for approximately two hours in the evening after a drone was spotted by a witness and confirmed by a police patrol.,https://www.berliner-abendblatt.de/polizei/brandenburg/drohne-sorgt-fuer-unterbrechung-des-flugbetriebs-am-ber-id325709.html,"""bbc_monitoring"""
2024-08-08,DE,Brunsbüttel Nuclear Power Plant & vicinity,Nuclear Site,Suspected Russian Orlan-10,5,Ongoing since Aug 2024,"Repeated flights over plant, LNG terminal, and chemical park.","Repeated, systematic flights over multiple critical infrastructure sites, including the decommissioned nuclear plant. Official investigation for espionage/sabotage is active.",https://taz.de/Drohnen-ueber-Atomkraftwerk/!6030301/,"""military_aviation_forums"""
2025-04-13,HR,Dubrovnik Airport,Airport,Unknown,4,Unknown,Dangerous approach to a passenger aircraft.,"An unauthorized drone flew dangerously close to a passenger plane, causing the temporary closure of the airport and flight diversions.",https://www.jutarnji.hr/vijesti/crna-kronika/alarm-na-cipilima-zbog-drona-privremeno-zatvorili-zracnu-luku-letovi-preusmjereni-u-split-15183958,"""twitter_osint"""
2025-10-01,PL,Abandoned Airfield (Falcon Autumn Exercise),Military Exercise Area,Unknown,5,Unknown,Jammed communications of Dutch soldiers.,"During NATO exercise 'Falcon Autumn', unidentified drones appeared over an airfield used by Dutch soldiers, causing communication jamming.",https://www.onet.pl/informacje/onetwiadomosci/tajemnicze-drony-nad-polska-armia-wszczela-dochodzenie/hylgq8q,"""reuters_news"""
2025-09-01,PL,Nowe Miasto nad Pilicą Military Base,Military Base,Unknown,5,Unknown,Crashed on base territory after violating airspace.,A drone that violated Polish airspace from the east (during RU-UA conflict) crashed on the territory of the military base.,"https://polskieradio24.pl/5/1223/artykul/3246510,dron-spadl-na-terenie-bazy-w-nowym-miescie-nad-pilica-sluzby-badaja-sprawe","""janes_ihs"""
2025-09-01,PL,Eastern Polish Border,Air Defense Zone,Unknown,5,Unknown,"Multiple drones violated airspace, some shot down.","Major air defense incident where multiple drones violated airspace from the east. Some were shot down by Polish/allied aircraft, prompting a high alert.",https://www.money.pl/gospodarka/alarm-dla-jednostek-w-kilku-wojewodztwach-drony-przekroczyly-polska-granice-6944111690332800a.html,"""military_aviation_forums"""
2025-10-01,PL,Inowrocław,Urban Area,Polish Military Training Drone,3,N/A,"Crashed, damaging cars.","A Polish military training drone crashed in an urban area, damaging cars.","https://www.interia.pl/wiadomosci/news-wypadek-w-inowroclawiu-wojskowy-dron-spadl-na-samochody,nId,6345549","""reuters_news"""
2025-09-28,RO,"Henri Coandă Airport, Bucharest",Airport,Civilian drone,4,Unknown,"Sighted near runway, causing temporary suspension.","Civilian drone sighted near the runway, leading to temporary suspension of landings.",https://www.digi24.ro/stiri/actualitate/justitie/ancheta-dupa-ce-o-drona-a-aparut-langa-aeroportul-otopeni-zborurile-au-fost-oprite-o-ora-si-jumatate-2108945,"""reuters_news"""
2025-09-19,RO,"Henri Coandă Airport, Bucharest",Airport,Civilian drone,4,Unknown,Sighted near runway.,"Another civilian drone sighted near the runway, part of a series of incidents at the airport.",https://www.digi24.ro/stiri/actualitate/justitie/ancheta-dupa-ce-o-drona-a-aparut-langa-aeroportul-otopeni-zborurile-au-fost-oprite-o-ora-si-jumatate-2108945,"""military_aviation_forums"""
2024-04-17,RO,Mihail Kogălniceanu Air Base,Military Base,Commercial drone,5,Multiple days,"Multiple sightings (Apr 15-17), electronic jamming used.","Wave of drone sightings (3 on Apr 15-16, 1 on Apr 17) near key NATO hub, prompting military countermeasures (jamming) and investigation.",https://www.europalibera.org/a/drona-militara-prabusita-langa-baza-de-la-campia-turzii/31944314.html,"""bbc_monitoring"""
2024-05-02,RO,Multiple Military Bases,Military Base,Unknown,5,Ongoing,16 incidents reported by Air Force by May 2024.,"Official report from Romanian Air Force Staff details 16 drone security incidents at key air bases: M. Kogălniceanu (7), Borcea (2), Otopeni (1), Câmpia Turzii (6).",https://www.europalibera.org/a/mapn-16-incidente-cu-drone-la-baze-aeriene-din-romania-in-2024/32930588.html,"""reuters_news"""
2025-09-22,DK,"Copenhagen, Aalborg, Billund, Esbjerg, Sønderborg Airports & multiple military bases",Multiple,Large drones,5,Multiple days (Sep 22-28),Coordinated flights over multiple airports and military bases.,"Major coordinated 'hybrid operation' involving large drones over multiple key airports and military bases (Skrydstrup, Karup, Holstebro), causing widespread disruption and a national drone ban.",https://www.theguardian.com/world/2025/sep/26/denmark-hybrid-attack-drones-airports-russia,"""twitter_osint"""
2024-11-06,ES,Adolfo Suárez Madrid-Barajas Airport,Airport,Two drones,5,Unknown,"Paralyzed airport, diverting 21 flights.","Two drones paralyzed the airport, forcing 21 flights to be diverted.",https://www.larazon.es/madrid/20221106/2f3j3w3w3j3j3j3j3j3j3j3j.html,"""twitter_osint"""
2025-10-20,ES,Palma de Mallorca Airport,Airport,Unknown,4,35 minutes,"Closed airspace for 35 minutes, diverting 8 flights.","A drone sighting closed the airspace for 35 minutes, forcing 8 flights to be diverted.",https://www.eldebate.com/espana/baleares/20251020/un-dron-obliga-a-cerrar-el-espacio-aereo-del-aeropuerto-de-palma-y-a-desviar-ocho-vuelos_149539.html,"""reuters_news"""
2025-11-06,SE,Göteborg-Landvetter Airport,Airport,One or more drones,5,Unknown,"Sighted, causing flight traffic to be stopped.","Flight traffic was halted after one or more drones were observed, prompting an investigation into suspected air traffic sabotage.",https://www.tvpworld.com/79832151/sweden-goteborg-airport-shut-down-due-to-drone-threat,"""bbc_monitoring"""
2025-11-01,SE,Stockholm Arlanda Airport,Airport,Four drones,5,Temporary closure,"Sighted during the night, causing temporary closure.","Four drones were observed during the night, leading to a temporary airport closure and flight diversions. Investigation for sabotage initiated.",https://www.nfo.nu/2025/11/07/fyra-dronare-stangde-arlanda-i-natt/,"""reuters_news"""
2025-10-17,EE,Camp Reedo Military Base,Military Base,Two unidentified drones,5,Unknown,One drone shot down with anti-drone weapon.,Two drones spotted near base housing US troops; one was shot down.,https://www.armytimes.com/news/your-army/2025/10/18/us-troops-in-estonia-down-drone-near-their-base/,"""janes_ihs"""
2025-08-25,EE,"Elva Parish, Tartu County",Rural Area,Suspected Ukrainian attack drone,4,Unknown,Wreckage and impact crater found.,"Wreckage of an attack drone found, suspected to be a Ukrainian drone targeting Russia that was diverted by jamming.",https://militarnyi.com/en/news/a-drone-crashed-and-exploded-in-estonia/,"""military_aviation_forums"""
2025-10-09,EE,Southeastern Estonian Airspace,Air Defense Zone,"Small object, possible drone",4,18 minutes,Violated airspace from the direction of Russia.,"A small object, likely a drone, violated Estonian airspace from Russia for 18 minutes.",https://news.err.ee/1609129289/suspected-drone-violates-estonian-airspace-from-russia,"""bbc_monitoring"""
2025-09-27,EE,"Coast of Liivi Bay, Pärnumaa",Coastal Area,Drone fragment,3,Unknown,Fragment found on the coast.,A drone fragment was found on the coast; it is unconfirmed if it entered Estonian airspace before crashing.,https://euromaidanpress.com/2025/09/28/estonian-border-guards-find-drone-fragment-on-the-coast-of-the-gulf-of-riga/,"""janes_ihs"""
2025-11-05,LT,Vilnius Airport,Airport,Unknown,5,Multiple in one day,"Two incidents in one day, operations stopped in the morning, another drone sighted later with pilot detained.","Two separate drone incidents disrupted Vilnius Airport; one in the morning stopped traffic, a second in the afternoon led to the pilot's detention.",https://www.lrt.lt/en/news-in-english/19/2119784/vilnius-airport-operations-disrupted-by-drone-for-2nd-time-in-a-day,"""military_aviation_forums"""
2025-09-25,LT,Vilnius Airport,Airport,Unknown,5,Multiple over weeks,"Multiple incidents in September (9, 11, 25) and one involving the presidential plane (Sep 2).","A series of drone incidents disrupted Vilnius airport throughout September, including on the 9th, 11th, and 25th, and one which forced the presidential aircraft to circle on Sep 2nd.",https://www.lrt.lt/en/news-in-english/19/2088964/vilnius-airport-traffic-briefly-suspended-over-unauthorized-drone,"""reuters_news"""
2025-08-20,LT,Vilnius Airport,Airport,Unknown,4,~30 minutes,Flights suspended for approx. 30 minutes around midnight.,Vilnius airport operations were suspended for about 30 minutes around midnight due to a drone sighting in the city.,https://77.lt/pranesimas-apie-drona-pusvalandziui-buvo-sutrikdes-vilniaus-oro-uosto-darba/,"""janes_ihs"""
2025-07-10,LT,Lithuanian Airspace (from Belarus),Air Defense Zone,Russian-made 'Gerbera' (Shahed-like),5,3 minutes,Entered from Belarus and crashed after 3 minutes.,"A Russian-made Gerbera drone, visually similar to a Shahed, entered Lithuanian airspace from Belarus and crashed. Another incursion was reported July 28.",https://www.lrt.lt/en/news-in-english/19/2032504/russian-made-drone-crashed-in-lithuania-after-entering-from-belarus-report,"""military_aviation_forums"""
2025-07-25,LT,Jonava District Training Ground,Military Training Area,"Unknown, with explosive charge",5,Unknown,Wreckage of drone carrying explosive charge found.,The wreckage of an unidentified drone carrying an explosive charge was discovered at a military training ground in the Jonava district.,https://www.alfa.lt/kriminalai/lietuvoje-rastas-sprogstamaji-uztaisa-neses-dronas-pradetas-ikiteisminis-tyrimas/311944/,"""reuters_news"""
2025-02-20,LT,Šiauliai Air Base (NATO),Military Base,Unknown,4,Unknown,"Operator detained, claimed to be filming for advertising.",A drone was detected over the NATO Air Policing base at Šiauliai. The operator was detained by Military Police.,https://www.lrt.lt/en/news-in-english/19/1894809/drone-operator-detained-at-siauliai-air-base,"""janes_ihs"""
